TradingSymbol,Date,EntryPrice,ExitPrice,Qty,ProfitLoss,Transaction,ExitType,Cumulative
BANKNIFTY21AUG35000CE,20/08/2021,395.60 Time:09:17,339.25 Time:03:26,25,1408.75,SELL,SQUAREOFF,1408.75
BANKNIFTY21AUG35000CE,24/08/2021,337.35 Time:09:17,472.25 Time:10:34,25,-3372.50,SELL,SHORT_SL,-1963.75
BANKNIFTY21AUG35200PE,20/08/2021,422.00 Time:09:17,389.05 Time:03:26,25,823.75,SELL,SQUAREOFF,823.75
BANKNIFTY21AUG35200PE,23/08/2021,315.90 Time:09:55,442.30 Time:10:47,25,-3160.00,SELL,SHORT_SL,-2336.25
BANKNIFTY21AUG35200PE,24/08/2021,255.65 Time:09:17,76.65 Time:01:28,25,4475.00,SELL,SHORT_TARGET,2138.75
BANKNIFTY21AUG35200CE,23/08/2021,331.05 Time:09:17,226.35 Time:03:26,25,2617.50,SELL,SQUAREOFF,2617.50
BANKNIFTY21AUG35400PE,23/08/2021,299.70 Time:09:17,419.60 Time:09:54,25,-2997.50,SELL,SHORT_SL,-2997.50
BANKNIFTY21AUG35000PE,23/08/2021,337.10 Time:10:48,185.00 Time:03:26,25,3802.50,SELL,SQUAREOFF,3802.50
BANKNIFTY21AUG35300CE,24/08/2021,260.55 Time:10:35,364.75 Time:11:59,25,-2605.00,SELL,SHORT_SL,-2605.00
BANKNIFTY21AUG35300CE,26/08/2021,224.60 Time:09:17,314.40 Time:09:30,25,-2245.00,SELL,SHORT_SL,-4850.00
BANKNIFTY21AUG35400CE,24/08/2021,295.05 Time:12:00,413.05 Time:02:20,25,-2950.00,SELL,SHORT_SL,-2950.00
BANKNIFTY21AUG35800PE,24/08/2021,288.55 Time:01:29,249.10 Time:03:26,25,986.25,SELL,SQUAREOFF,986.25
BANKNIFTY21AUG35800PE,25/08/2021,230.25 Time:09:45,322.35 Time:10:18,25,-2302.50,SELL,SHORT_SL,-1316.25
BANKNIFTY21AUG35800PE,26/08/2021,97.40 Time:02:01,136.40 Time:02:24,25,-975.00,SELL,SHORT_SL,-2291.25
BANKNIFTY21AUG35800PE,26/08/2021,133.40 Time:02:25,186.80 Time:02:35,25,-1335.00,SELL,SHORT_SL,-3626.25
BANKNIFTY21AUG35600CE,24/08/2021,271.80 Time:02:21,262.55 Time:03:26,25,231.25,SELL,SQUAREOFF,231.25
BANKNIFTY21AUG35600CE,26/08/2021,146.30 Time:11:34,43.90 Time:02:36,25,2560.00,SELL,SHORT_TARGET,2791.25
BANKNIFTY21AUG35700CE,25/08/2021,259.05 Time:09:17,110.20 Time:03:26,25,3721.25,SELL,SQUAREOFF,3721.25
BANKNIFTY21AUG35900PE,25/08/2021,228.95 Time:09:17,320.55 Time:09:44,25,-2290.00,SELL,SHORT_SL,-2290.00
